Input (V),Output Amp (V),error,Ncyc=425
0,0.064,0.02,
0.2,0.08,0.02,
0.4,0.08,0.02,
0.6,0.088,0.02,
0.8,0.096,0.02,
1,0.128,0.02,
1.2,0.184,0.02,
1.4,0.192,0.02,
1.6,0.2,0.02,
1.8,0.208,0.02,
2,0.16,0.02,
2.2,0.152,0.02,
2.4,0.152,0.02,
2.6,0.128,0.02,
2.8,0.232,0.02,
3,0.36,0.02,
3.2,0.376,0.02,
3.4,0.6,0.02,
3.6,0.744,0.02,
3.8,0.912,0.02,
4,1.05,0.02,
4.2,1.15,0.02,
4.4,1.24,0.02,
4.6,1.29,0.02,
4.8,1.23,0.02,
5,1.06,0.02,
5.2,0.952,0.02,
5.4,0.744,0.02,
5.6,0.616,0.02,
5.8,0.44,0.02,
6,0.264,0.02,
6.2,0.184,0.02,
6.4,0.096,0.02,
6.6,0.144,0.02,
6.8,0.304,0.02,
7,0.424,0.02,
7.2,0.776,0.02,
7.4,0.968,0.02,
7.6,1.14,0.02,
7.8,1.43,0.02,
8,1.48,0.02,
8.2,1.56,0.02,
8.4,1.44,0.02,
8.6,1.36,0.02,
8.8,1.26,0.02,
9,1.12,0.02,
9.2,0.82,0.02,
9.4,0.56,0.02,
9.6,0.336,0.02,
9.8,0.2,0.02,
10,0.096,0.02,
