counts (10^4),rotaiton angle (degrees),error (*10^4)
4.82,90,0.04
3.97,85,0.04
4.26,80,0.04
4.36,75,0.04
3.81,70,0.04
3.36,65,0.04
3.95,60,0.04
3.11,55,0.04
3.15,50,0.04
3.27,45,0.04
3.1,40,0.04
3.05,35,0.04
3.05,30,0.04
3.03,25,0.04
3.37,20,0.04
3.44,15,0.04
3.87,10,0.04
5.44,5,0.04
5.1,0,0.04
3.9,-5,0.04
3.34,-10,0.04
2.22,-15,0.04
2,-20,0.04
2.01,-25,0.04
1.96,-30,0.04
1.96,-35,0.04
1.86,-40,0.04
1.87,-45,0.04
2.05,-50,0.04
2.06,-55,0.04
1.99,-60,0.04
2.01,-65,0.04
2.07,-70,0.04
2.28,-75,0.04
2.5,-80,0.04
2.12,-85,0.04
2.83,-90,0.04
2.81,-95,0.04
2.87,-100,0.04
2.87,-105,0.04
2.62,-110,0.04
2.91,-115,0.04
2.81,-120,0.04
2.79,-125,0.04
2.78,-130,0.04
2.75,-135,0.04
3.07,-140,0.04
5.97,-145,0.04
6.35,-150,0.04
5.31,-155,0.04
3.62,-160,0.04
3.86,-165,0.04
2.98,-170,0.04
2.96,-175,0.04
3.06,-180,0.04
2.78,-185,0.04
2.82,-190,0.04
2.9,-195,0.04
2.78,-200,0.04
3.01,-205,0.04
3.09,-210,0.04
3.44,-215,0.04
3.24,-220,0.04
3.39,-225,0.04
2.76,-230,0.04
3.75,-235,0.04
4.15,-240,0.04
4.37,-245,0.04
3.96,-250,0.04
4.53,-255,0.04
4.46,-260,0.04
3.98,-265,0.04
4.88,-270,0.04
